id,name,description,stream_id,create_date,type_id,group_id,DATE,SCHEDULE_ID,index_number
3,ОПП_ФаМИ [08.02.2017],,1,2017-02-08T00:33:09,1,,2017-02-08,4,1
4,ОПП_ФаМИ [08.02.2017],,1,2017-02-08T00:34:00,1,,2017-02-08,5,2
7,ОПП_ФаМИ,,1,2017-02-13T00:21:59,2,2,2017-02-13,2,1
8,ОПП_ФаМИ,,1,2017-02-13T00:44:20,2,4,2017-02-13,3,1
10,ОПП_ФаМИ,,1,2017-02-16T15:51:15,2,6,2017-02-17,2,1
11,ОПП_ФаМИ,,1,2017-02-16T15:52:27,2,3,2017-02-17,3,1
12,ОПП_ФаМИ,,1,2017-02-16T15:54:26,1,,2017-02-17,4,3
13,ОПП_ФаМИ,,1,2017-02-16T15:58:00,2,8,2017-02-17,5,1
14,,,1,,2,2,2017-02-20T00:00:00,2,2
15,,,1,,2,4,2017-02-20T00:00:00,3,2
26,,,2,,1,,2017-02-24T00:00:00,5,1
31,,,1,,2,6,2017-02-24T00:00:00,2,2
32,,,1,,2,3,2017-02-24T00:00:00,3,2
33,,,1,,1,,2017-02-24T00:00:00,4,4
34,,,1,,2,8,2017-02-24T00:00:00,5,2
35,,,1,,2,1,2017-02-14T00:00:00,5,1
36,,,1,,2,1,2017-02-21T00:00:00,5,2
37,,,1,,2,5,2017-02-17T00:00:00,5,1
38,,,1,,2,7,2017-02-22T00:00:00,5,1
39,,,1,,2,7,2017-02-15T00:00:00,5,2
41,,,1,,2,2,2017-02-27T00:00:00,2,3
42,,,1,,2,4,2017-02-27T00:00:00,3,3
45,,,1,,2,6,2017-03-03T00:00:00,2,3
47,,,1,,2,3,2017-03-03T00:00:00,3,3
48,,,1,,1,,2017-03-03T00:00:00,4,5
49,,,1,,2,8,2017-03-03T00:00:00,5,3
51,,,1,,2,2,2017-03-06T00:00:00,2,4
52,,,1,,2,4,2017-03-06T00:00:00,3,4
54,,,1,,2,8,2017-03-06T00:00:00,4,4
56,,,3,,1,,2017-03-07T00:00:00,4,1
57,,,3,,1,,2017-03-07T00:00:00,5,2
58,,,3,,2,12,2017-03-09T00:00:00,6,1
59,,,3,,2,12,2017-03-09T00:00:00,7,2
60,,,1,,2,5,2017-02-24T00:00:00,5,2
61,,,1,,2,6,2017-03-10T00:00:00,2,4
62,,,1,,2,3,2017-03-10T00:00:00,3,4
63,,,1,,1,,2017-03-10T00:00:00,4,6
65,,,1,,2,4,2017-03-13T00:00:00,3,5
66,,,1,,2,8,2017-03-13T00:00:00,4,5
67,,,1,,2,3,2017-03-13T00:00:00,5,5
68,,,1,,2,6,2017-03-17T00:00:00,2,5
69,,,1,,2,2,2017-03-17T00:00:00,3,5
70,,,1,,1,,2017-03-17T00:00:00,4,7
71,,,1,,2,7,2017-03-15T00:00:00,5,3
72,,,1,,2,1,2017-03-14T00:00:00,5,3
73,,,1,,2,1,2017-03-15T00:00:00,6,4
74,,,1,,2,4,2017-03-20T00:00:00,3,6
75,,,1,,2,8,2017-03-20T00:00:00,4,6
76,,,1,,2,3,2017-03-20T00:00:00,5,6
77,,,1,,2,6,2017-03-24T00:00:00,2,6
78,,,1,,2,2,2017-03-24T00:00:00,3,6
79,,,1,,1,,2017-03-24T00:00:00,4,8
81,,,1,,2,4,2017-03-27T00:00:00,3,7
82,,,1,,2,8,2017-03-27T00:00:00,4,7
83,,,1,,2,3,2017-03-27T00:00:00,5,7
84,,,1,,4,4,2017-03-30T22:37:29.148,,1
85,,,2,,4,,2017-03-30T22:42:52.11,,1
86,,,1,,2,6,2017-03-31T00:00:00,2,7
87,,,1,,2,2,2017-03-31T00:00:00,3,7
88,,,1,,1,,2017-03-31T00:00:00,4,9
