id,student_id,lesson_id,registered,registration_time,registration_type,mark,mark_time
0,109,64,,,,,
1,1,3,1,22:16:29.680,MANUAL,,
2,2,3,1,14:56:23.133,AUTOMATIC,,
3,4,3,1,15:05:38.336,AUTOMATIC,,
4,5,3,1,22:17:10.857,MANUAL,,
5,6,3,1,22:17:24.098,MANUAL,,
6,7,3,1,14:55:17.244,AUTOMATIC,,
7,8,3,1,15:07:12.858,AUTOMATIC,,
8,9,3,1,22:17:47.019,MANUAL,,
9,10,3,1,15:01:37.123,AUTOMATIC,,
10,11,3,1,15:05:33.316,AUTOMATIC,,
11,12,3,1,15:06:59.364,AUTOMATIC,,
12,13,3,1,15:07:32.244,AUTOMATIC,,
13,14,3,1,22:17:59.428,MANUAL,,
14,15,3,1,14:58:21.708,AUTOMATIC,,
15,16,3,0,,,,
16,17,3,1,14:56:40.203,AUTOMATIC,,
17,18,3,1,14:57:41.321,AUTOMATIC,,
18,19,3,0,,,,
19,20,3,1,14:58:43.526,AUTOMATIC,,
20,21,3,1,14:58:30.854,AUTOMATIC,,
21,22,3,1,15:07:40.148,AUTOMATIC,,
22,23,3,1,14:58:27.610,AUTOMATIC,,
23,24,3,1,15:10:02.650,MANUAL,,
24,25,3,0,,,,
25,26,3,0,,,,
26,27,3,0,,,,
27,28,3,0,,,,
28,29,3,1,15:06:54.428,AUTOMATIC,,
29,30,3,1,14:55:05.770,AUTOMATIC,,
31,32,3,0,,,,
32,33,3,1,14:58:47.536,AUTOMATIC,,
33,34,3,1,15:04:30.690,AUTOMATIC,,
34,35,3,1,14:55:23.066,AUTOMATIC,,
35,36,3,1,14:55:31.686,AUTOMATIC,,
36,37,3,1,14:54:58.327,AUTOMATIC,,
37,38,3,1,14:56:06.381,AUTOMATIC,,
38,39,3,1,15:06:37.120,AUTOMATIC,,
39,40,3,1,15:06:45.160,AUTOMATIC,,
40,41,3,0,,,,
41,42,3,1,14:58:54.098,AUTOMATIC,,
42,45,3,1,14:57:54.001,AUTOMATIC,,
43,46,3,1,15:00:00.533,AUTOMATIC,,
44,47,3,1,14:50:13.700,AUTOMATIC,,
45,48,3,1,14:59:41.151,AUTOMATIC,,
46,49,3,1,01:15:09.901,MANUAL,,
47,50,3,1,15:02:16.714,AUTOMATIC,,
48,51,3,1,15:02:27.778,AUTOMATIC,,
49,52,3,1,01:15:27.262,MANUAL,,
50,53,3,1,01:15:40.039,MANUAL,,
51,54,3,1,14:58:03.847,AUTOMATIC,,
52,55,3,1,15:03:01.310,AUTOMATIC,,
53,56,3,1,14:54:54.922,AUTOMATIC,,
54,57,3,1,14:56:11.851,AUTOMATIC,,
55,58,3,0,,,,
56,59,3,1,15:02:09.838,AUTOMATIC,,
57,60,3,1,14:54:33.243,AUTOMATIC,,
58,61,3,1,14:55:36.088,AUTOMATIC,,
59,62,3,1,15:02:52.124,AUTOMATIC,,
60,63,3,1,14:56:16.189,AUTOMATIC,,
61,64,3,1,14:54:40.858,AUTOMATIC,,
62,65,3,1,14:55:47.830,AUTOMATIC,,
63,66,3,1,14:59:12.451,AUTOMATIC,,
64,67,3,1,14:56:03.057,AUTOMATIC,,
65,68,3,1,14:58:16.462,AUTOMATIC,,
66,69,3,1,22:14:26.439,MANUAL,,
67,70,3,1,14:57:24.980,AUTOMATIC,,
68,71,3,1,22:15:46.354,MANUAL,,
69,72,3,1,14:54:50.411,AUTOMATIC,,
70,73,3,1,22:15:09.789,MANUAL,,
71,74,3,1,14:56:20.537,AUTOMATIC,,
72,75,3,1,14:50:05.050,AUTOMATIC,,
73,76,3,1,22:15:26.927,MANUAL,,
74,77,3,1,14:54:37.315,AUTOMATIC,,
75,78,3,1,14:54:28.630,AUTOMATIC,,
76,79,3,1,14:55:43.452,AUTOMATIC,,
77,80,3,0,,,,
78,81,3,1,22:14:57.258,MANUAL,р/р/р,
79,82,3,1,14:59:09.907,AUTOMATIC,,
80,83,3,1,14:57:04.556,AUTOMATIC,,
81,84,3,0,,,,
82,85,3,1,15:02:46.512,AUTOMATIC,,
83,86,3,0,,,,
84,87,3,1,11:29:16.224,MANUAL,,
85,88,3,0,,,,
86,89,3,0,,,,
87,90,3,1,15:07:15.494,MANUAL,,
88,91,3,0,,,,
89,92,3,1,15:01:25.286,AUTOMATIC,,
90,93,3,0,,,,
91,94,3,1,14:55:57.299,AUTOMATIC,,
92,95,3,1,15:09:42.799,AUTOMATIC,,
93,96,3,1,14:55:39.450,AUTOMATIC,,
94,97,3,0,,,,
95,98,3,0,,,,
96,99,3,1,15:05:43.532,AUTOMATIC,,
97,100,3,0,,,,
98,101,3,0,,,,
99,102,3,1,20:37:26.226,MANUAL,,
100,103,3,1,15:04:11.858,AUTOMATIC,,
101,104,3,1,15:01:16.460,AUTOMATIC,,
102,105,3,1,14:56:52.074,AUTOMATIC,,
103,106,3,1,22:21:49.693,MANUAL,,
104,107,3,1,14:59:54.369,AUTOMATIC,,
105,108,3,1,14:55:59.519,AUTOMATIC,,
106,109,3,1,15:04:07.328,AUTOMATIC,,
107,110,3,1,15:01:49.235,AUTOMATIC,,
108,111,3,1,22:21:31.684,MANUAL,,
109,112,3,1,15:09:32.783,AUTOMATIC,,
110,113,3,1,15:07:55.171,AUTOMATIC,,
111,114,3,1,15:09:00.249,AUTOMATIC,,
112,115,3,1,15:00:21.721,AUTOMATIC,,
113,116,3,1,15:00:49.032,AUTOMATIC,,
114,117,3,1,14:57:28.520,AUTOMATIC,,
115,118,3,1,22:22:09.110,MANUAL,,
116,119,3,1,15:05:27.338,AUTOMATIC,,
117,120,3,1,15:02:03.079,AUTOMATIC,,
118,121,3,0,,,,
119,122,3,1,14:57:33.598,AUTOMATIC,,
120,123,3,0,,,,
121,124,3,0,,,,
122,125,3,1,22:22:47.551,MANUAL,,
123,126,3,0,,,,
124,127,3,1,15:04:58.463,AUTOMATIC,,
125,128,3,1,15:03:36.488,AUTOMATIC,,
126,129,3,1,22:23:37.263,MANUAL,,
127,130,3,1,14:57:47.533,AUTOMATIC,,
128,131,3,1,15:01:22.034,AUTOMATIC,,
